Rang,nom,suffrages,sigle,parti,elu,sexe
280,BOUVIER Jérémy,7586,PDC,DÉMOCRATE-CHRÉTIEN,0,0
282,ZIMMERMANN Luc,7577,PDC,DÉMOCRATE-CHRÉTIEN,0,0
283,MORONI Catherine,7567,PDC,DÉMOCRATE-CHRÉTIEN,0,1
284,ZIMMERMANN Bertrand,7542,PDC,DÉMOCRATE-CHRÉTIEN,0,0
285,SAUDAN Guy,7528,PDC,DÉMOCRATE-CHRÉTIEN,0,0
287,NEUDER Isabelle,7514,PDC,DÉMOCRATE-CHRÉTIEN,0,1
288,PFEIFFER Alex,7511,PDC,DÉMOCRATE-CHRÉTIEN,0,0
289,VUARNOZ Emanuela (Emanuelle),7498,PDC,DÉMOCRATE-CHRÉTIEN,0,1
290,CHEVALIER Alexandre,7494,PDC,DÉMOCRATE-CHRÉTIEN,0,0
291,SCHRAG Sylvianne,7488,PDC,DÉMOCRATE-CHRÉTIEN,0,1
292,FRISCHKNECHT Catherine,7477,PDC,DÉMOCRATE-CHRÉTIEN,0,1
293,MONDOUX Alexandre,7454,PDC,DÉMOCRATE-CHRÉTIEN,0,0
294,GIANNELLI Mark,7445,PDC,DÉMOCRATE-CHRÉTIEN,0,0
295,SIMOES Jose,7431,PDC,DÉMOCRATE-CHRÉTIEN,0,0
297,RUCHET Philippe,7400,PDC,DÉMOCRATE-CHRÉTIEN,0,0
298,RASOLO Daniel,7360,PDC,DÉMOCRATE-CHRÉTIEN,0,0
300,STEINBERG CANDRIAN Melinda,7347,PDC,DÉMOCRATE-CHRÉTIEN,0,1
301,MAKKI Michela (Michèle),7336,PDC,DÉMOCRATE-CHRÉTIEN,0,1
302,OUEDRAOGO Moustapha,7328,PDC,DÉMOCRATE-CHRÉTIEN,0,0
303,SCANDURRA Alessandro,7319,PDC,DÉMOCRATE-CHRÉTIEN,0,0
307,BAUD Olivier,7242,EAG,ENSEMBLE À GAUCHE,0,0
308,PERRET Vincent,7242,PDC,DÉMOCRATE-CHRÉTIEN,0,0
309,SAPIN Françoise,7228,MCG,MCG,0,1
310,BAYENET Pierre,7206,EAG,ENSEMBLE À GAUCHE,0,0
311,KHATTABI HASSAR Houda,7185,PDC,DÉMOCRATE-CHRÉTIEN,0,1
312,PYTHON André,7182,MCG,MCG,0,0
313,VALENTIN Francisco,7151,MCG,MCG,0,0
314,GANDER Florian,7143,MCG,MCG,0,0
315,GOLAY Sandra,7142,MCG,MCG,0,1
316,SONDEREGGER Gabriela,7090,MCG,MCG,0,1
317,NYFFELER BATOU Françoise,7086,EAG,ENSEMBLE À GAUCHE,0,1
318,LAURENT Pierre-Alain,7086,MCG,MCG,0,0
319,DECORVET Christian,7085,MCG,MCG,0,0
320,CHAPOU Frédéric,7084,MCG,MCG,0,0
321,MARTENOT Aude,7056,EAG,ENSEMBLE À GAUCHE,0,1
322,LUPO Paolo,7045,PDC,DÉMOCRATE-CHRÉTIEN,0,0
323,ANGELOZ Claude,7039,MCG,MCG,0,0
324,DEROUETTE Jean-Paul,7039,MCG,MCG,0,0
325,SAAS Alexandra,7031,MCG,MCG,0,1
326,PERADOTTO Julie,7023,EAG,ENSEMBLE À GAUCHE,0,1
327,ZOGG Thomas,7022,MCG,MCG,0,0
328,LE JONCOUR-BRÜLHART Céline,7020,MCG,MCG,0,1
329,RAPPAZ Henry,7020,MCG,MCG,0,0
330,AMBROSIO François,7013,MCG,MCG,0,0
332,TEIXEIRA Albano,7000,MCG,MCG,0,0
333,ZBINDEN Jean-Luc,6996,MCG,MCG,0,0
334,LEISI Laurent,6981,MCG,MCG,0,0
335,REICHENBACH Kevin,6980,MCG,MCG,0,0
336,MARGUET Tex,6971,MCG,MCG,0,0
337,JAHIJA Burim,6954,MCG,MCG,0,0
338,SCHNEBLI Tobias (Tobia),6952,EAG,ENSEMBLE À GAUCHE,0,0
339,CHAPPAZ Marc,6944,MCG,MCG,0,0
340,ECUYER Hélène,6941,EAG,ENSEMBLE À GAUCHE,0,1
341,MUDRY Yves,6938,MCG,MCG,0,0
342,MADANI Amar,6931,MCG,MCG,0,0
343,FONTAINE-VIVE-CURTAZ Jean,6930,MCG,MCG,0,0
344,PASCARELLA Louise,6929,MCG,MCG,0,1
345,ANGELO Antonio,6922,MCG,MCG,0,0
346,PEREZ Maria (Lou),6920,EAG,ENSEMBLE À GAUCHE,0,1
347,STEINER Christian,6915,MCG,MCG,0,0
348,OVETT BONDI Davinia,6914,EAG,ENSEMBLE À GAUCHE,0,1
349,SHLYAPINA Elena,6897,MCG,MCG,0,1
350,MÉNÉTREY Yasmine,6890,MCG,MCG,0,1
351,MÜLLER Olivier,6888,MCG,MCG,0,0
352,DI SALVO Giuseppe,6886,MCG,MCG,0,0
353,OUDIN Rémy,6882,MCG,MCG,0,0
354,FRAUCHIGER Roger,6871,MCG,MCG,0,0
355,SOTOMAYOR André,6863,MCG,MCG,0,0
356,BESSE Muriel,6862,MCG,MCG,0,1
357,ROULIN Claude,6860,MCG,MCG,0,0
358,CATTIN Jean-Pascal,6858,MCG,MCG,0,0
359,MARTIGNONI Alain,6848,MCG,MCG,0,0
360,GARCIA Javier,6844,MCG,MCG,0,0
361,NIETO Alexandre,6841,MCG,MCG,0,0
362,COVER Sabina,6839,MCG,MCG,0,1
363,VENDRELL Marie,6837,MCG,MCG,0,1
364,HEIMO Philippe,6834,MCG,MCG,0,0
365,FEKKAK Hatem,6830,MCG,MCG,0,0
366,CATALAN Joëlle,6827,MCG,MCG,0,1
367,GOSTOLI Gérard,6816,MCG,MCG,0,0
368,LOOSLI Bertille (Clarence),6815,MCG,MCG,0,1
369,PASTORE Daniel (Dany),6811,MCG,MCG,0,0
370,REOLON Bruno,6810,MCG,MCG,0,0
371,EMONET Sarah,6809,MCG,MCG,0,1
372,KLINGELE Olivier,6809,MCG,MCG,0,0
373,MARÉCHAL Christophe,6807,MCG,MCG,0,0
374,DO REGO Ricardo,6803,MCG,MCG,0,0
375,VILLETTE Jean,6803,MCG,MCG,0,0
376,DELMENICO Janine,6798,MCG,MCG,0,1
377,MARTIN Emmanuel,6798,MCG,MCG,0,0
378,CHAOUI Laïla,6797,MCG,MCG,0,1
379,COUTO Armando,6793,MCG,MCG,0,0
380,YAU Helen,6785,MCG,MCG,0,1
381,BENCKER Jeanne,6782,MCG,MCG,0,1
382,OLIVEIRA Rui,6775,MCG,MCG,0,0
383,ALBANESI Jean-François,6773,MCG,MCG,0,0
384,BARYEKA Jarek,6772,MCG,MCG,0,0
385,INNOCENTI Flavio,6772,MCG,MCG,0,0
386,ECUYER Annick,6765,EAG,ENSEMBLE À GAUCHE,0,0
387,AMBORD Cédric (Sandro),6763,MCG,MCG,0,0
388,BOLAY ROBIN Stéphanie,6760,EAG,ENSEMBLE À GAUCHE,0,1
389,GUISY Milène,6760,MCG,MCG,0,1
390,NAINE Marie-Josée,6755,MCG,MCG,0,1
391,HAYMOZ William,6754,MCG,MCG,0,0
392,BONVIN Philippe,6752,MCG,MCG,0,0
393,BAIUNCO Aurora,6750,MCG,MCG,0,1
394,SCHMID Audrey,6749,EAG,ENSEMBLE À GAUCHE,0,1
395,DELLAGIOVANNA Daniel,6747,MCG,MCG,0,0
396,LODDO Olivier (HENRIOUD),6744,MCG,MCG,0,0
397,BELCASTRO DE LUCA Nathalie,6735,MCG,MCG,0,1
398,SAUSER Nicolas,6735,MCG,MCG,0,0
399,DUSSAN Julien,6733,MCG,MCG,0,0
400,RYSER Alain,6733,MCG,MCG,0,0
401,BISSAT Rose (Marie Angeline),6725,MCG,MCG,0,1
402,SPAGNOLO Salvatore,6725,MCG,MCG,0,0
403,BEUN Christine (Kristine),6721,MCG,MCG,0,1
404,MONNEY Armand,6718,MCG,MCG,0,0
405,PIERRE TOUSSAINT Sircee,6712,MCG,MCG,0,1
406,PREZIOSO BATOU Stefania,6707,EAG,ENSEMBLE À GAUCHE,0,1
407,DE OLIVEIRA NUNES Vitor,6706,MCG,MCG,0,0
408,BARRY Minkailou,6687,MCG,MCG,0,0
411,AHDAB Ahmad (Chawki),6656,MCG,MCG,0,0
412,DRASKOVIC Rada,6654,MCG,MCG,0,1
413,GHARBI Mohamed,6633,MCG,MCG,0,0
414,BEN CHAABANE Salah,6631,MCG,MCG,0,0
415,OSSMANN Sekna,6607,EAG,ENSEMBLE À GAUCHE,0,1
416,JELK Andrée (JELK-PEILA),6589,EAG,ENSEMBLE À GAUCHE,0,1
417,BAILAT Ariane,6513,EAG,ENSEMBLE À GAUCHE,0,1
418,ENILINE Alexander,6511,EAG,ENSEMBLE À GAUCHE,0,0
419,JIMENEZ Jean-Daniel,6504,EAG,ENSEMBLE À GAUCHE,0,0
421,CASTRO Gloria,6488,EAG,ENSEMBLE À GAUCHE,0,1
422,ZAUGG Daniel,6481,EAG,ENSEMBLE À GAUCHE,0,0
423,ISSOM David-Zacharie,6464,EAG,ENSEMBLE À GAUCHE,0,0
424,JANUZI Bashkim,6457,EAG,ENSEMBLE À GAUCHE,0,0
425,ZAUGG Cecilia,6443,EAG,ENSEMBLE À GAUCHE,0,1
427,ZBINDEN Livia,6423,EAG,ENSEMBLE À GAUCHE,0,1
428,FERREIRA Elisabeth,6416,EAG,ENSEMBLE À GAUCHE,0,1
429,LANGFORD Pia,6412,EAG,ENSEMBLE À GAUCHE,0,1
430,VINCENT Michel,6404,EAG,ENSEMBLE À GAUCHE,0,0
431,MANRÍQUEZ Matías,6403,EAG,ENSEMBLE À GAUCHE,0,0
432,RUMPCZYK Delphine,6387,EAG,ENSEMBLE À GAUCHE,0,1
433,PFEFFER André,6384,UDC,UDC,0,0
434,KHAOUCHI Corinne,6365,EAG,ENSEMBLE À GAUCHE,0,1
435,ANDENMATTEN David,6363,EAG,ENSEMBLE À GAUCHE,0,0
436,DE MELO MARCELINO Amélia,6347,EAG,ENSEMBLE À GAUCHE,0,1
437,CARLO Xavier,6344,EAG,ENSEMBLE À GAUCHE,0,0
438,HULLIGER Patrick,6343,UDC,UDC,0,0
439,BLANCHET Marjo,6321,EAG,ENSEMBLE À GAUCHE,0,1
440,STEBLER GUENAT Henriette,6297,EAG,ENSEMBLE À GAUCHE,0,1
441,MAENDLY Norbert,6288,UDC,UDC,0,0
442,ESAKI KABEYA Elisabeth,6269,EAG,ENSEMBLE À GAUCHE,0,1
443,CHRISTINAT Jean-David,6265,EAG,ENSEMBLE À GAUCHE,0,0
444,SAHIN Gazi,6265,EAG,ENSEMBLE À GAUCHE,0,0
445,DURAKU Edon,6259,EAG,ENSEMBLE À GAUCHE,0,0
446,MICHAUD Eliane (ANSERMET),6233,UDC,UDC,0,1
447,CONTI Virna,6228,UDC,UDC,0,1
448,CATELAIN Gilbert,6227,UDC,UDC,0,0
449,EDJEOU Corinne (BUNTSCHU),6204,EAG,ENSEMBLE À GAUCHE,0,1
450,BOUJEMAA Sanae,6187,EAG,ENSEMBLE À GAUCHE,0,1
451,MEIERHOFER MANYAGOUA BOUMTCHÉ Charlotte,6185,EAG,ENSEMBLE À GAUCHE,0,1
452,CLEMENT Patrice,6180,EAG,ENSEMBLE À GAUCHE,0,0
