elu,sigle,parti,ordre,suffrages,id,liste_id,nom,photoUrl,sexe
0,MCG,MCG,54,6839,10552,111,COVER Sabina,COVER_Sabina.jpg,1
0,MCG,MCG,55,6837,10531,111,VENDRELL Marie,VENDRELL_Marie.jpg,1
0,MCG,MCG,56,6834,10537,111,HEIMO Philippe,HEIMO_Philippe.jpg,0
0,MCG,MCG,57,6830,10508,111,FEKKAK Hatem,FEKKAK_Hatem.jpg,0
0,MCG,MCG,58,6827,10540,111,CATALAN Joëlle,CATALAN_Joelle.jpg,1
0,MCG,MCG,59,6816,10549,111,GOSTOLI Gérard,GOSTOLI_Gerard.jpg,0
0,MCG,MCG,60,6815,10566,111,LOOSLI Bertille (Clarence),LOOSLI_Bertille.jpg,1
0,MCG,MCG,61,6811,10560,111,PASTORE Daniel (Dany),PASTORE_Daniel.jpg,0
0,MCG,MCG,62,6810,10541,111,REOLON Bruno,REOLON_Bruno.jpg,0
0,MCG,MCG,63,6809,10567,111,EMONET Sarah,EMONET_Sarah.jpg,1
0,MCG,MCG,63,6809,10543,111,KLINGELE Olivier,KLINGELE_Olivier.jpg,0
0,MCG,MCG,65,6807,10573,111,MARÉCHAL Christophe,MARECHAL_Christophe.jpg,0
0,MCG,MCG,66,6803,10530,111,DO REGO Ricardo,DO_REGO_Ricardo.jpg,0
0,MCG,MCG,66,6803,10519,111,VILLETTE Jean,VILLETTE_Jean.jpg,0
0,MCG,MCG,68,6798,10546,111,DELMENICO Janine,DELMENICO_Janine.jpg,1
0,MCG,MCG,68,6798,10580,111,MARTIN Emmanuel,MARTIN_Emmanuel.jpg,0
0,MCG,MCG,70,6797,10526,111,CHAOUI Laïla,CHAOUI_Laila.jpg,1
0,MCG,MCG,71,6793,10524,111,COUTO Armando,COUTO_Armando.jpg,0
0,MCG,MCG,72,6785,10550,111,YAU Helen,YAU_Helen.jpg,1
0,MCG,MCG,73,6782,10544,111,BENCKER Jeanne,BENCKER_Jeanne.jpg,1
0,MCG,MCG,74,6775,10559,111,OLIVEIRA Rui,OLIVEIRA_Rui.jpg,0
0,MCG,MCG,75,6773,10542,111,ALBANESI Jean-François,ALBANESI_Jean-Francois.jpg,0
0,MCG,MCG,76,6772,10513,111,BARYEKA Jarek,BARYEKA_Jarek.jpg,0
0,MCG,MCG,76,6772,10551,111,INNOCENTI Flavio,INNOCENTI_Flavio.jpg,0
0,EAG,ENSEMBLE À GAUCHE,19,6765,10030,101,ECUYER Annick,ECUYER_Annick.jpg,0
0,MCG,MCG,78,6763,10553,111,AMBORD Cédric (Sandro),AMBORD_Cedric.jpg,0
0,EAG,ENSEMBLE À GAUCHE,20,6760,10065,101,BOLAY ROBIN Stéphanie,BOLAY_ROBIN_Stephanie.jpg,1
0,MCG,MCG,79,6760,10579,111,GUISY Milène,GUISY_Milene.jpg,1
0,MCG,MCG,80,6755,10564,111,NAINE Marie-Josée,NAINE_Marie-Josee.jpg,1
0,MCG,MCG,81,6754,10562,111,HAYMOZ William,HAYMOZ_William.jpg,0
0,MCG,MCG,82,6752,10582,111,BONVIN Philippe,BONVIN_Philippe.jpg,0
0,MCG,MCG,83,6750,10558,111,BAIUNCO Aurora,BAIUNCO_Aurora.jpg,1
0,EAG,ENSEMBLE À GAUCHE,21,6749,10049,101,SCHMID Audrey,SCHMID_Audrey.jpg,1
0,MCG,MCG,84,6747,10522,111,DELLAGIOVANNA Daniel,DELLAGIOVANNA_Daniel.jpg,0
0,MCG,MCG,85,6744,10569,111,LODDO Olivier (HENRIOUD),LODDO_Olivier.jpg,0
0,MCG,MCG,86,6735,10555,111,BELCASTRO DE LUCA Nathalie,BELCASTRO_DE_LUCA_Nathalie.jpg,1
